Results for track_01.txt:
Iteration 1: Moves: 12, Runtime: 3.03ms
Iteration 2: Moves: 12, Runtime: 1.23ms
Iteration 3: Moves: 12, Runtime: 0.83ms
Iteration 4: Moves: 12, Runtime: 0.48ms
Iteration 5: Moves: 12, Runtime: 0.67ms
Iteration 6: Moves: 12, Runtime: 0.40ms
Iteration 7: Moves: 12, Runtime: 0.38ms
Iteration 8: Moves: 12, Runtime: 0.82ms
Iteration 9: Moves: 12, Runtime: 0.53ms
Iteration 10: Moves: 12, Runtime: 0.66ms
Iteration 11: Moves: 12, Runtime: 1.06ms
Iteration 12: Moves: 12, Runtime: 0.56ms
Iteration 13: Moves: 12, Runtime: 0.40ms
Iteration 14: Moves: 12, Runtime: 1.08ms
Iteration 15: Moves: 12, Runtime: 0.36ms
Iteration 16: Moves: 12, Runtime: 0.39ms
Iteration 17: Moves: 12, Runtime: 0.47ms
Iteration 18: Moves: 12, Runtime: 0.37ms
Iteration 19: Moves: 12, Runtime: 0.40ms
Iteration 20: Moves: 12, Runtime: 0.79ms
Iteration 21: Moves: 12, Runtime: 0.35ms
Iteration 22: Moves: 12, Runtime: 0.35ms
Iteration 23: Moves: 12, Runtime: 0.34ms
Iteration 24: Moves: 12, Runtime: 0.50ms
Iteration 25: Moves: 12, Runtime: 0.54ms
Iteration 26: Moves: 12, Runtime: 0.38ms
Iteration 27: Moves: 12, Runtime: 0.67ms
Iteration 28: Moves: 12, Runtime: 0.37ms
Iteration 29: Moves: 12, Runtime: 0.40ms
Iteration 30: Moves: 12, Runtime: 0.51ms
Iteration 31: Moves: 12, Runtime: 0.35ms
Iteration 32: Moves: 12, Runtime: 0.36ms
Iteration 33: Moves: 12, Runtime: 0.51ms
Iteration 34: Moves: 12, Runtime: 0.36ms
Iteration 35: Moves: 12, Runtime: 0.50ms
Iteration 36: Moves: 12, Runtime: 0.43ms
Iteration 37: Moves: 12, Runtime: 0.74ms
Iteration 38: Moves: 12, Runtime: 0.33ms
Iteration 39: Moves: 12, Runtime: 0.36ms
Iteration 40: Moves: 12, Runtime: 0.49ms
Iteration 41: Moves: 12, Runtime: 0.35ms
Iteration 42: Moves: 12, Runtime: 0.37ms
Iteration 43: Moves: 12, Runtime: 0.55ms
Iteration 44: Moves: 12, Runtime: 0.39ms
Iteration 45: Moves: 12, Runtime: 0.44ms
Iteration 46: Moves: 12, Runtime: 0.35ms
Iteration 47: Moves: 12, Runtime: 0.45ms
Iteration 48: Moves: 12, Runtime: 0.34ms
Iteration 49: Moves: 12, Runtime: 0.37ms
