Results for track_01.txt:
Iteration 1: Moves: 9, Runtime: 4.20ms
Iteration 2: Moves: 9, Runtime: 0.71ms
Iteration 3: Moves: 9, Runtime: 0.64ms
Iteration 4: Moves: 9, Runtime: 0.77ms
Iteration 5: Moves: 9, Runtime: 0.83ms
Iteration 6: Moves: 9, Runtime: 1.65ms
Iteration 7: Moves: 9, Runtime: 0.78ms
Iteration 8: Moves: 9, Runtime: 2.35ms
Iteration 9: Moves: 9, Runtime: 1.00ms
Iteration 10: Moves: 9, Runtime: 1.08ms
Iteration 11: Moves: 9, Runtime: 0.40ms
Iteration 12: Moves: 9, Runtime: 0.33ms
Iteration 13: Moves: 9, Runtime: 0.47ms
Iteration 14: Moves: 9, Runtime: 0.73ms
Iteration 15: Moves: 9, Runtime: 0.75ms
Iteration 16: Moves: 9, Runtime: 0.32ms
Iteration 17: Moves: 9, Runtime: 0.39ms
Iteration 18: Moves: 9, Runtime: 0.80ms
Iteration 19: Moves: 9, Runtime: 0.28ms
Iteration 20: Moves: 9, Runtime: 0.43ms
Iteration 21: Moves: 9, Runtime: 0.26ms
Iteration 22: Moves: 9, Runtime: 0.30ms
Iteration 23: Moves: 9, Runtime: 0.42ms
Iteration 24: Moves: 9, Runtime: 0.30ms
Iteration 25: Moves: 9, Runtime: 0.41ms
Iteration 26: Moves: 9, Runtime: 0.29ms
Iteration 27: Moves: 9, Runtime: 0.37ms
Iteration 28: Moves: 9, Runtime: 0.87ms
Iteration 29: Moves: 9, Runtime: 0.53ms
Iteration 30: Moves: 9, Runtime: 0.64ms
Iteration 31: Moves: 9, Runtime: 0.70ms
Iteration 32: Moves: 9, Runtime: 0.57ms
Iteration 33: Moves: 9, Runtime: 0.63ms
Iteration 34: Moves: 9, Runtime: 0.38ms
Iteration 35: Moves: 9, Runtime: 0.27ms
Iteration 36: Moves: 9, Runtime: 0.39ms
Iteration 37: Moves: 9, Runtime: 0.39ms
Iteration 38: Moves: 9, Runtime: 1.73ms
Iteration 39: Moves: 9, Runtime: 0.22ms
Iteration 40: Moves: 9, Runtime: 0.20ms
Iteration 41: Moves: 9, Runtime: 0.20ms
Iteration 42: Moves: 9, Runtime: 0.21ms
Iteration 43: Moves: 9, Runtime: 0.20ms
Iteration 44: Moves: 9, Runtime: 0.44ms
Iteration 45: Moves: 9, Runtime: 0.20ms
Iteration 46: Moves: 9, Runtime: 0.20ms
Iteration 47: Moves: 9, Runtime: 0.19ms
Iteration 48: Moves: 9, Runtime: 0.19ms
Iteration 49: Moves: 9, Runtime: 0.20ms
Iteration 50: Moves: 9, Runtime: 0.43ms
Best Moves: 9 moves
Average Moves: 9.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 0.19ms
Average Runtime: 0.62ms
Deviation Runtime: 0.66ms

Results for track_02.txt:
Iteration 1: Moves: 14, Runtime: 16.21ms
Iteration 2: Moves: 14, Runtime: 10.47ms
Iteration 3: Moves: 14, Runtime: 11.50ms
Iteration 4: Moves: 14, Runtime: 7.99ms
Iteration 5: Moves: 14, Runtime: 7.76ms
Iteration 6: Moves: 14, Runtime: 7.55ms
Iteration 7: Moves: 14, Runtime: 7.60ms
Iteration 8: Moves: 14, Runtime: 9.28ms
Iteration 9: Moves: 14, Runtime: 7.67ms
Iteration 10: Moves: 14, Runtime: 6.48ms
Iteration 11: Moves: 14, Runtime: 7.51ms
Iteration 12: Moves: 14, Runtime: 7.19ms
Iteration 13: Moves: 14, Runtime: 6.14ms
Iteration 14: Moves: 14, Runtime: 6.87ms
Iteration 15: Moves: 14, Runtime: 6.30ms
Iteration 16: Moves: 14, Runtime: 6.34ms
Iteration 17: Moves: 14, Runtime: 6.85ms
Iteration 18: Moves: 14, Runtime: 6.36ms
Iteration 19: Moves: 14, Runtime: 8.00ms
Iteration 20: Moves: 14, Runtime: 6.57ms
Iteration 21: Moves: 14, Runtime: 6.95ms
Iteration 22: Moves: 14, Runtime: 6.65ms
Iteration 23: Moves: 14, Runtime: 6.98ms
Iteration 24: Moves: 14, Runtime: 9.34ms
Iteration 25: Moves: 14, Runtime: 6.39ms
Iteration 26: Moves: 14, Runtime: 7.25ms
Iteration 27: Moves: 14, Runtime: 8.34ms
Iteration 28: Moves: 14, Runtime: 6.71ms
Iteration 29: Moves: 14, Runtime: 6.42ms
Iteration 30: Moves: 14, Runtime: 8.52ms
Iteration 31: Moves: 14, Runtime: 7.61ms
Iteration 32: Moves: 14, Runtime: 6.99ms
Iteration 33: Moves: 14, Runtime: 7.94ms
Iteration 34: Moves: 14, Runtime: 7.19ms
Iteration 35: Moves: 14, Runtime: 7.38ms
Iteration 36: Moves: 14, Runtime: 6.93ms
Iteration 37: Moves: 14, Runtime: 6.85ms
Iteration 38: Moves: 14, Runtime: 6.42ms
Iteration 39: Moves: 14, Runtime: 7.27ms
Iteration 40: Moves: 14, Runtime: 7.84ms
Iteration 41: Moves: 14, Runtime: 7.23ms
Iteration 42: Moves: 14, Runtime: 7.82ms
Iteration 43: Moves: 14, Runtime: 6.72ms
Iteration 44: Moves: 14, Runtime: 6.74ms
Iteration 45: Moves: 14, Runtime: 5.97ms
Iteration 46: Moves: 14, Runtime: 6.80ms
Iteration 47: Moves: 14, Runtime: 5.97ms
Iteration 48: Moves: 14, Runtime: 6.03ms
Iteration 49: Moves: 14, Runtime: 6.95ms
Iteration 50: Moves: 14, Runtime: 6.07ms
Best Moves: 14 moves
Average Moves: 14.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 5.97ms
Average Runtime: 7.46ms
Deviation Runtime: 1.65ms

Results for track_03.txt:
Iteration 1: Moves: 43, Runtime: 1477.08ms
Iteration 2: Moves: 43, Runtime: 1430.00ms
Iteration 3: Moves: 43, Runtime: 1444.19ms
Iteration 4: Moves: 43, Runtime: 1463.03ms
Iteration 5: Moves: 43, Runtime: 1487.42ms
Iteration 6: Moves: 43, Runtime: 1471.65ms
Iteration 7: Moves: 43, Runtime: 1449.35ms
Iteration 8: Moves: 43, Runtime: 1469.82ms
Iteration 9: Moves: 43, Runtime: 1482.09ms
Iteration 10: Moves: 43, Runtime: 1460.79ms
Iteration 11: Moves: 43, Runtime: 1474.00ms
Iteration 12: Moves: 43, Runtime: 1468.74ms
